ts,timestamp,open,high,low,close,volume
1753218000,2025-07-22 21:00:00+00:00,777.34,778.09,775.48,776.68,6296.93
1753221600,2025-07-22 22:00:00+00:00,776.68,778.0,774.62,777.21,5490.536
1753225200,2025-07-22 23:00:00+00:00,777.21,788.35,776.72,786.68,28875.001
1753228800,2025-07-23 00:00:00+00:00,786.69,804.7,785.07,799.58,98568.0896
1753232400,2025-07-23 01:00:00+00:00,799.58,802.5,794.6,794.94,32545.47
1753236000,2025-07-23 02:00:00+00:00,794.94,796.01,786.75,795.55,31038.056
1753239600,2025-07-23 03:00:00+00:00,795.56,797.09,790.33,797.09,14706.017
1753243200,2025-07-23 04:00:00+00:00,797.09,801.18,794.47,799.69,22587.305
1753246800,2025-07-23 05:00:00+00:00,799.69,801.65,795.89,796.13,21615.641
1753250400,2025-07-23 06:00:00+00:00,796.13,797.69,792.44,794.34,15134.082
1753254000,2025-07-23 07:00:00+00:00,794.35,799.14,792.23,794.42,15154.018
1753257600,2025-07-23 08:00:00+00:00,794.42,796.95,790.76,793.46,13472.408
1753261200,2025-07-23 09:00:00+00:00,793.46,794.71,790.61,791.53,14248.279
1753264800,2025-07-23 10:00:00+00:00,791.53,799.9,788.24,799.4,28119.86
1753268400,2025-07-23 11:00:00+00:00,799.4,808.81,797.03,808.46,43622.728
1753272000,2025-07-23 12:00:00+00:00,808.47,809.84,794.12,795.3,39028.455
1753275600,2025-07-23 13:00:00+00:00,795.3,798.1,775.3,780.99,99133.128
1753279200,2025-07-23 14:00:00+00:00,780.99,790.14,779.57,787.18,30173.099
1753282800,2025-07-23 15:00:00+00:00,787.18,789.24,779.72,784.43,24243.996
1753286400,2025-07-23 16:00:00+00:00,784.43,784.56,765.58,765.77,43030.974
1753290000,2025-07-23 17:00:00+00:00,765.77,771.2,761.0,770.86,31817.535
1753293600,2025-07-23 18:00:00+00:00,770.88,776.09,768.75,775.84,12518.859
1753297200,2025-07-23 19:00:00+00:00,775.84,776.98,770.3,770.83,9401.997
1753300800,2025-07-23 20:00:00+00:00,770.82,773.4,756.3,763.0,27571.8
1753304400,2025-07-23 21:00:00+00:00,763.02,771.0,752.47,768.61,22005.26
1753308000,2025-07-23 22:00:00+00:00,768.61,774.71,763.54,773.91,11862.716
1753311600,2025-07-23 23:00:00+00:00,773.92,777.24,773.64,776.74,7487.384
1753315200,2025-07-24 00:00:00+00:00,776.74,784.54,772.68,784.15,13501.528
1753318800,2025-07-24 01:00:00+00:00,784.15,784.17,781.37,783.98,10369.692
1753322400,2025-07-24 02:00:00+00:00,783.98,786.16,780.5,782.51,9410.958
1753326000,2025-07-24 03:00:00+00:00,782.52,784.08,778.72,779.44,9661.206
1753329600,2025-07-24 04:00:00+00:00,779.44,780.1,766.26,767.39,14241.258
1753333200,2025-07-24 05:00:00+00:00,767.38,767.71,751.5,751.58,30992.319
1753336800,2025-07-24 06:00:00+00:00,751.6,757.43,743.73,749.47,44307.644
1753340400,2025-07-24 07:00:00+00:00,749.47,759.2,742.62,759.09,31734.242
1753344000,2025-07-24 08:00:00+00:00,759.09,767.34,756.35,766.33,12596.57
1753347600,2025-07-24 09:00:00+00:00,766.33,767.81,763.0,765.83,11403.248
1753351200,2025-07-24 10:00:00+00:00,765.84,768.56,755.54,762.98,13811.07
1753354800,2025-07-24 11:00:00+00:00,762.97,772.31,762.63,770.21,13577.005
1753358400,2025-07-24 12:00:00+00:00,770.2,772.01,764.22,768.94,13461.782
1753362000,2025-07-24 13:00:00+00:00,768.95,771.12,764.3,764.99,15229.232
1753365600,2025-07-24 14:00:00+00:00,764.99,776.68,760.72,776.4,21390.88
1753369200,2025-07-24 15:00:00+00:00,776.41,781.05,772.86,778.21,24305.73
1753372800,2025-07-24 16:00:00+00:00,778.21,778.81,769.78,774.57,16487.096
1753376400,2025-07-24 17:00:00+00:00,774.57,785.79,774.13,781.5,15739.706
1753380000,2025-07-24 18:00:00+00:00,781.49,785.6,780.03,781.49,7848.958
1753383600,2025-07-24 19:00:00+00:00,781.49,783.3,778.91,778.95,7478.169
1753387200,2025-07-24 20:00:00+00:00,778.95,781.26,777.01,780.81,5092.357
1753390800,2025-07-24 21:00:00+00:00,780.81,781.55,775.48,776.68,4103.854
1753394400,2025-07-24 22:00:00+00:00,776.67,779.9,774.16,777.71,6286.062
1753398000,2025-07-24 23:00:00+00:00,777.7,777.7,769.69,770.74,10406.171
1753401600,2025-07-25 00:00:00+00:00,770.74,771.38,765.0,766.87,11732.886
1753405200,2025-07-25 01:00:00+00:00,766.88,770.4,761.98,769.13,14510.736
1753408800,2025-07-25 02:00:00+00:00,769.13,771.1,758.54,758.54,12121.56
1753412400,2025-07-25 03:00:00+00:00,758.54,763.53,753.12,756.81,21205.6
1753416000,2025-07-25 04:00:00+00:00,756.8,765.29,752.22,764.88,17563.843
1753419600,2025-07-25 05:00:00+00:00,764.88,764.88,759.37,760.36,8784.863
1753423200,2025-07-25 06:00:00+00:00,760.36,763.63,756.11,761.81,9137.582
1753426800,2025-07-25 07:00:00+00:00,761.81,766.65,757.36,761.4,21341.552
1753430400,2025-07-25 08:00:00+00:00,761.4,767.72,761.22,764.99,10910.356
1753434000,2025-07-25 09:00:00+00:00,765.0,772.44,762.62,771.29,15192.816
1753437600,2025-07-25 10:00:00+00:00,771.3,773.25,766.92,769.44,9461.625
1753441200,2025-07-25 11:00:00+00:00,769.44,772.83,769.43,771.67,6324.168
1753444800,2025-07-25 12:00:00+00:00,771.67,780.0,771.22,774.24,22147.476
1753448400,2025-07-25 13:00:00+00:00,774.25,775.8,769.8,774.2,11162.638
1753452000,2025-07-25 14:00:00+00:00,774.2,774.53,760.88,761.03,18820.525
1753455600,2025-07-25 15:00:00+00:00,761.03,767.99,760.12,765.63,13939.533
1753459200,2025-07-25 16:00:00+00:00,765.64,773.28,763.3,772.86,13039.99
1753462800,2025-07-25 17:00:00+00:00,772.86,776.95,772.44,775.84,9491.018
1753466400,2025-07-25 18:00:00+00:00,775.85,777.09,774.16,775.74,6791.18
1753470000,2025-07-25 19:00:00+00:00,775.74,777.35,773.88,774.31,5023.604
1753473600,2025-07-25 20:00:00+00:00,774.32,779.0,773.7,777.32,4163.431
1753477200,2025-07-25 21:00:00+00:00,777.33,781.13,777.32,778.9,6555.842
1753480800,2025-07-25 22:00:00+00:00,778.91,784.28,778.36,783.44,5264.782
1753484400,2025-07-25 23:00:00+00:00,783.43,786.0,782.47,785.45,9380.515
1753488000,2025-07-26 00:00:00+00:00,785.44,785.7,781.59,782.35,6539.804
1753491600,2025-07-26 01:00:00+00:00,782.35,783.97,778.28,778.55,5551.672
1753495200,2025-07-26 02:00:00+00:00,778.56,784.52,778.55,783.57,7566.521
1753498800,2025-07-26 03:00:00+00:00,783.57,784.2,782.26,783.52,3548.045
1753502400,2025-07-26 04:00:00+00:00,783.53,784.18,780.83,781.94,4340.429
1753506000,2025-07-26 05:00:00+00:00,781.95,782.05,780.5,780.71,2142.759
1753509600,2025-07-26 06:00:00+00:00,780.72,783.1,780.54,782.69,2572.601
1753513200,2025-07-26 07:00:00+00:00,782.69,783.81,781.99,782.55,3738.979
1753516800,2025-07-26 08:00:00+00:00,782.55,784.4,781.64,784.03,3558.504
1753520400,2025-07-26 09:00:00+00:00,784.03,784.39,782.88,783.95,3784.303
1753524000,2025-07-26 10:00:00+00:00,783.95,785.6,782.0,782.01,5511.97
1753527600,2025-07-26 11:00:00+00:00,782.0,783.46,780.11,781.7,6216.949
1753531200,2025-07-26 12:00:00+00:00,781.7,782.99,780.54,782.51,3085.855
1753534800,2025-07-26 13:00:00+00:00,782.51,783.16,781.78,781.96,4287.516
1753538400,2025-07-26 14:00:00+00:00,781.97,782.2,780.37,780.4,3821.525
1753542000,2025-07-26 15:00:00+00:00,780.39,781.7,779.33,781.32,3147.691
1753545600,2025-07-26 16:00:00+00:00,781.31,781.81,779.35,779.9,4032.699
1753549200,2025-07-26 17:00:00+00:00,779.9,780.05,778.51,779.52,2907.925
1753552800,2025-07-26 18:00:00+00:00,779.53,782.73,779.06,781.98,3089.623
1753556400,2025-07-26 19:00:00+00:00,781.98,784.92,781.83,784.87,2872.186
1753560000,2025-07-26 20:00:00+00:00,784.88,785.59,783.61,784.88,2418.777
1753563600,2025-07-26 21:00:00+00:00,784.88,789.42,784.43,789.17,6472.907
1753567200,2025-07-26 22:00:00+00:00,789.17,798.0,789.16,791.45,22554.663
1753570800,2025-07-26 23:00:00+00:00,791.45,796.23,791.44,793.29,15000.488
1753574400,2025-07-27 00:00:00+00:00,793.3,799.0,791.04,797.19,13852.345
1753578000,2025-07-27 01:00:00+00:00,797.2,799.25,795.54,795.98,12395.078
1753581600,2025-07-27 02:00:00+00:00,795.97,797.8,793.96,794.88,5182.603
1753585200,2025-07-27 03:00:00+00:00,794.89,796.49,793.84,794.28,4229.218
1753588800,2025-07-27 04:00:00+00:00,794.29,798.12,793.44,796.3,9770.239
1753592400,2025-07-27 05:00:00+00:00,796.3,797.33,794.36,797.11,5689.625
1753596000,2025-07-27 06:00:00+00:00,797.12,799.0,795.1,795.72,5757.86
1753599600,2025-07-27 07:00:00+00:00,795.73,797.86,795.0,796.41,3480.967
1753603200,2025-07-27 08:00:00+00:00,796.41,798.0,793.85,797.58,6782.274
1753606800,2025-07-27 09:00:00+00:00,797.58,797.8,792.12,793.4,4823.934
1753610400,2025-07-27 10:00:00+00:00,793.4,798.71,793.3,797.75,5089.124
1753614000,2025-07-27 11:00:00+00:00,797.76,799.4,796.0,796.7,7301.471
1753617600,2025-07-27 12:00:00+00:00,796.71,797.69,793.6,795.39,5916.088
1753621200,2025-07-27 13:00:00+00:00,795.39,796.13,793.4,794.28,4116.824
1753624800,2025-07-27 14:00:00+00:00,794.27,799.1,794.1,797.31,6899.929
1753628400,2025-07-27 15:00:00+00:00,797.32,816.6,795.0,814.98,53074.4129
1753632000,2025-07-27 16:00:00+00:00,814.98,827.25,812.55,818.65,78167.7432
1753635600,2025-07-27 17:00:00+00:00,818.65,825.72,816.55,822.79,21365.212
1753639200,2025-07-27 18:00:00+00:00,822.78,828.0,822.54,826.94,13419.636
