ts,timestamp,open,high,low,close,volume
1757056320000,2025-09-05 07:12:00,112470.0,112560.0,112376.14,112388.46,72.59247
1757056380000,2025-09-05 07:13:00,112388.46,112436.0,112331.32,112337.55,28.64428
1757056440000,2025-09-05 07:14:00,112337.55,112345.98,112299.82,112345.97,32.474
1757056500000,2025-09-05 07:15:00,112345.97,112432.68,112334.85,112390.01,23.67956
1757056560000,2025-09-05 07:16:00,112390.0,112463.27,112353.52,112463.26,16.35871
1757056620000,2025-09-05 07:17:00,112463.26,112480.89,112384.97,112388.53,22.39181
1757056680000,2025-09-05 07:18:00,112388.52,112548.69,112366.8,112507.49,53.6757
1757056740000,2025-09-05 07:19:00,112507.5,112508.38,112454.96,112454.96,21.83199
1757056800000,2025-09-05 07:20:00,112454.96,112593.84,112440.87,112593.84,46.98029
1757056860000,2025-09-05 07:21:00,112593.83,112888.0,112593.83,112712.0,154.34951
1757056920000,2025-09-05 07:22:00,112712.01,112746.63,112649.84,112710.0,29.2715
1757056980000,2025-09-05 07:23:00,112710.0,112777.09,112644.98,112777.07,44.78747
1757057040000,2025-09-05 07:24:00,112777.08,112791.5,112724.07,112733.74,23.09342
1757057100000,2025-09-05 07:25:00,112733.73,112758.0,112692.0,112714.46,28.12598
1757057160000,2025-09-05 07:26:00,112714.46,112756.16,112708.0,112749.86,17.95455
1757057220000,2025-09-05 07:27:00,112749.85,112856.12,112749.85,112832.29,43.84983
1757057280000,2025-09-05 07:28:00,112832.28,112832.28,112700.16,112700.17,35.31776
1757057340000,2025-09-05 07:29:00,112700.16,112752.77,112661.03,112708.55,23.32497
1757057400000,2025-09-05 07:30:00,112708.55,112784.53,112679.89,112679.89,24.3809
1757057460000,2025-09-05 07:31:00,112679.89,112679.9,112629.99,112672.0,25.20117
1757057520000,2025-09-05 07:32:00,112672.0,112747.05,112671.63,112747.04,26.48167
1757057580000,2025-09-05 07:33:00,112747.04,112800.0,112704.01,112800.0,32.671
1757057640000,2025-09-05 07:34:00,112799.99,112824.0,112746.88,112792.22,22.51481
1757057700000,2025-09-05 07:35:00,112792.21,112872.59,112792.21,112851.82,33.80305
1757057760000,2025-09-05 07:36:00,112851.82,112868.3,112792.21,112811.62,32.93481
1757057820000,2025-09-05 07:37:00,112811.62,112866.0,112787.08,112787.08,19.47905
1757057880000,2025-09-05 07:38:00,112787.08,112787.09,112686.62,112686.63,20.01783
1757057940000,2025-09-05 07:39:00,112686.62,112755.06,112686.62,112707.97,26.67325
1757058000000,2025-09-05 07:40:00,112707.97,112732.0,112701.45,112731.99,13.99793
1757058060000,2025-09-05 07:41:00,112731.99,112771.76,112731.99,112766.74,15.93725
1757058120000,2025-09-05 07:42:00,112766.74,112799.99,112756.96,112758.87,16.60256
1757058180000,2025-09-05 07:43:00,112758.88,112792.22,112758.86,112780.0,17.02708
1757058240000,2025-09-05 07:44:00,112779.99,112783.59,112751.26,112783.59,10.83599
1757058300000,2025-09-05 07:45:00,112783.58,112858.72,112770.32,112770.32,29.4286
1757058360000,2025-09-05 07:46:00,112770.32,112941.0,112738.18,112889.16,60.57215
1757058420000,2025-09-05 07:47:00,112889.15,112889.15,112832.03,112832.04,16.59899
1757058480000,2025-09-05 07:48:00,112832.03,112868.01,112832.03,112832.03,15.09946
1757058540000,2025-09-05 07:49:00,112832.03,112872.83,112823.99,112841.83,16.12383
1757058600000,2025-09-05 07:50:00,112841.82,112968.35,112841.82,112968.35,21.01604
1757058660000,2025-09-05 07:51:00,112968.34,112991.23,112924.14,112924.14,31.59762
1757058720000,2025-09-05 07:52:00,112924.14,112941.87,112901.41,112931.81,11.15691
1757058780000,2025-09-05 07:53:00,112931.81,112956.98,112917.76,112936.17,18.93328
1757058840000,2025-09-05 07:54:00,112936.16,112983.96,112889.15,112983.7,43.61397
1757058900000,2025-09-05 07:55:00,112983.69,112999.0,112937.58,112958.02,24.2398
1757058960000,2025-09-05 07:56:00,112958.01,112958.01,112912.31,112932.68,19.52181
1757059020000,2025-09-05 07:57:00,112932.68,112941.14,112916.0,112941.13,8.84484
1757059080000,2025-09-05 07:58:00,112941.13,112975.62,112941.13,112975.61,20.00763
1757059140000,2025-09-05 07:59:00,112975.61,112975.62,112954.1,112954.32,16.65027
1757059200000,2025-09-05 08:00:00,112954.32,112983.55,112945.86,112954.24,25.56329
1757059260000,2025-09-05 08:01:00,112954.24,112954.25,112868.84,112868.85,23.60869
1757059320000,2025-09-05 08:02:00,112868.84,112923.17,112855.77,112890.33,19.71882
1757059380000,2025-09-05 08:03:00,112890.32,112926.59,112890.32,112916.43,8.94838
1757059440000,2025-09-05 08:04:00,112916.44,112985.0,112916.43,112925.73,21.76857
