ts,timestamp,open,high,low,close,volume
1756514700,2025-08-30 00:45:00+00:00,108147.72,108266.23,108147.72,108264.93,27.43068
1756515000,2025-08-30 00:50:00+00:00,108264.93,108288.79,108224.2,108231.63,25.54934
1756515300,2025-08-30 00:55:00+00:00,108231.62,108313.47,108180.94,108300.71,41.7008
1756515600,2025-08-30 01:00:00+00:00,108300.7,108313.03,108256.59,108294.43,46.79494
1756515900,2025-08-30 01:05:00+00:00,108294.31,108339.25,108257.02,108332.67,31.63568
1756516200,2025-08-30 01:10:00+00:00,108332.67,108350.0,108297.21,108303.74,17.90504
1756516500,2025-08-30 01:15:00+00:00,108303.73,108303.73,108223.15,108223.16,26.45851
1756516800,2025-08-30 01:20:00+00:00,108223.16,108259.39,108145.2,108145.21,41.49019
1756517100,2025-08-30 01:25:00+00:00,108145.2,108145.21,108022.57,108036.0,78.84178
1756517400,2025-08-30 01:30:00+00:00,108035.99,108110.74,108006.11,108110.74,45.26681
1756517700,2025-08-30 01:35:00+00:00,108110.73,108123.8,108030.91,108065.95,26.6407
1756518000,2025-08-30 01:40:00+00:00,108065.96,108071.22,108035.05,108035.05,20.64109
1756518300,2025-08-30 01:45:00+00:00,108035.06,108035.06,107912.97,107912.97,68.97327
1756518600,2025-08-30 01:50:00+00:00,107912.98,107924.0,107655.09,107655.1,106.7199
1756518900,2025-08-30 01:55:00+00:00,107655.1,107719.98,107350.1,107447.97,191.11463
1756519200,2025-08-30 02:00:00+00:00,107447.97,107683.69,107384.0,107678.76,130.23036
1756519500,2025-08-30 02:05:00+00:00,107678.76,107785.61,107676.36,107689.83,50.75526
1756519800,2025-08-30 02:10:00+00:00,107689.83,107777.0,107680.0,107774.78,42.10948
1756520100,2025-08-30 02:15:00+00:00,107774.78,107859.44,107736.05,107805.06,46.16231
1756520400,2025-08-30 02:20:00+00:00,107805.06,107817.49,107724.75,107724.75,59.78839
1756520700,2025-08-30 02:25:00+00:00,107724.75,107849.7,107599.88,107824.53,87.50212
1756521000,2025-08-30 02:30:00+00:00,107824.53,107942.87,107824.52,107891.86,69.91112
1756521300,2025-08-30 02:35:00+00:00,107891.86,107916.62,107830.95,107856.89,64.26662
1756521600,2025-08-30 02:40:00+00:00,107856.9,107934.57,107856.89,107934.57,45.93458
1756521900,2025-08-30 02:45:00+00:00,107934.58,107950.69,107897.96,107950.69,75.4861
1756522200,2025-08-30 02:50:00+00:00,107950.69,107951.77,107892.51,107892.52,46.23849
1756522500,2025-08-30 02:55:00+00:00,107892.51,107930.98,107782.0,107782.01,62.88853
1756522800,2025-08-30 03:00:00+00:00,107782.01,107854.53,107769.48,107854.53,69.49014
1756523100,2025-08-30 03:05:00+00:00,107854.53,108014.7,107828.44,108014.7,73.60061
1756523400,2025-08-30 03:10:00+00:00,108014.7,108060.0,108000.35,108041.29,88.92934
1756523700,2025-08-30 03:15:00+00:00,108041.29,108088.47,108000.0,108082.82,85.23878
1756524000,2025-08-30 03:20:00+00:00,108082.82,108307.69,108082.81,108231.25,129.89751
1756524300,2025-08-30 03:25:00+00:00,108231.24,108248.0,108161.53,108231.2,102.83305
1756524600,2025-08-30 03:30:00+00:00,108231.2,108409.71,108231.19,108320.0,132.83244
1756524900,2025-08-30 03:35:00+00:00,108320.0,108418.27,108290.18,108352.21,156.00522
1756525200,2025-08-30 03:40:00+00:00,108352.21,108352.21,108280.0,108341.09,69.61816
1756525500,2025-08-30 03:45:00+00:00,108341.1,108424.0,108334.0,108378.38,99.3708
1756525800,2025-08-30 03:50:00+00:00,108378.38,108424.0,108350.29,108415.96,81.29099
1756526100,2025-08-30 03:55:00+00:00,108415.97,108436.21,108394.28,108436.2,59.06087
1756526400,2025-08-30 04:00:00+00:00,108436.21,108469.52,108372.95,108387.44,88.79426
1756526700,2025-08-30 04:05:00+00:00,108387.43,108500.62,108382.01,108500.61,169.21209
1756527000,2025-08-30 04:10:00+00:00,108500.62,108500.62,108460.0,108469.82,139.64077
1756527300,2025-08-30 04:15:00+00:00,108469.81,108535.32,108469.81,108535.17,155.51372
1756527600,2025-08-30 04:20:00+00:00,108535.16,108592.0,108504.33,108590.12,141.766
1756527900,2025-08-30 04:25:00+00:00,108590.11,108697.28,108586.64,108639.19,211.87601
1756528200,2025-08-30 04:30:00+00:00,108639.18,108643.93,108476.21,108483.57,150.38384
1756528500,2025-08-30 04:35:00+00:00,108483.57,108550.93,108483.56,108502.95,137.08895
1756528800,2025-08-30 04:40:00+00:00,108502.95,108548.59,108486.41,108507.99,115.59189
1756529100,2025-08-30 04:45:00+00:00,108508.0,108535.31,108463.33,108535.31,48.81697
1756529400,2025-08-30 04:50:00+00:00,108535.31,108535.34,108460.0,108464.49,49.21924
1756529700,2025-08-30 04:55:00+00:00,108464.49,108470.8,108417.65,108435.59,45.61837
1756530000,2025-08-30 05:00:00+00:00,108435.58,108480.71,108373.97,108391.99,79.03263
1756530300,2025-08-30 05:05:00+00:00,108391.99,108423.27,108349.04,108423.26,56.36866
1756530600,2025-08-30 05:10:00+00:00,108423.26,108423.27,108248.05,108248.06,62.57477
1756530900,2025-08-30 05:15:00+00:00,108248.05,108315.86,108248.05,108280.14,41.06006
1756531200,2025-08-30 05:20:00+00:00,108280.14,108285.85,108223.89,108251.5,23.10153
1756531500,2025-08-30 05:25:00+00:00,108251.49,108251.5,108213.63,108216.85,28.11882
