ts,timestamp,open,high,low,close,volume
1753218000,2025-07-22 21:00:00+00:00,3706.73,3711.0,3695.03,3705.77,11090.3307
1753221600,2025-07-22 22:00:00+00:00,3705.78,3730.8,3705.78,3719.82,14189.2021
1753225200,2025-07-22 23:00:00+00:00,3719.83,3751.0,3717.99,3746.21,22138.6933
1753228800,2025-07-23 00:00:00+00:00,3746.21,3761.22,3724.73,3725.52,27510.7097
1753232400,2025-07-23 01:00:00+00:00,3725.52,3742.42,3712.45,3738.53,18311.3502
1753236000,2025-07-23 02:00:00+00:00,3738.51,3764.2,3724.15,3745.56,29429.0445
1753239600,2025-07-23 03:00:00+00:00,3745.56,3758.88,3725.24,3728.63,18917.5296
1753243200,2025-07-23 04:00:00+00:00,3728.63,3735.71,3719.62,3734.88,12440.0443
1753246800,2025-07-23 05:00:00+00:00,3734.88,3737.6,3702.13,3713.52,17829.2516
1753250400,2025-07-23 06:00:00+00:00,3713.52,3715.58,3686.37,3694.5,18469.8581
1753254000,2025-07-23 07:00:00+00:00,3694.49,3699.71,3663.91,3673.33,26923.2764
1753257600,2025-07-23 08:00:00+00:00,3673.33,3692.22,3667.03,3691.94,19730.8787
1753261200,2025-07-23 09:00:00+00:00,3691.93,3698.0,3650.0,3658.78,26633.6092
1753264800,2025-07-23 10:00:00+00:00,3658.78,3669.4,3639.96,3665.79,23295.7841
1753268400,2025-07-23 11:00:00+00:00,3665.78,3676.51,3648.31,3671.99,16160.648
1753272000,2025-07-23 12:00:00+00:00,3671.99,3680.68,3634.0,3640.25,24520.8167
1753275600,2025-07-23 13:00:00+00:00,3640.24,3663.09,3573.47,3587.42,124610.4921
1753279200,2025-07-23 14:00:00+00:00,3587.42,3624.84,3580.42,3616.44,71378.3683
1753282800,2025-07-23 15:00:00+00:00,3616.43,3646.0,3596.86,3644.22,46946.9306
1753286400,2025-07-23 16:00:00+00:00,3644.21,3644.21,3566.09,3571.0,54819.7769
1753290000,2025-07-23 17:00:00+00:00,3571.0,3594.49,3552.0,3587.0,57791.4682
1753293600,2025-07-23 18:00:00+00:00,3587.0,3607.0,3585.95,3604.24,18307.5937
1753297200,2025-07-23 19:00:00+00:00,3604.24,3613.0,3582.67,3587.75,31470.2015
1753300800,2025-07-23 20:00:00+00:00,3587.74,3605.07,3543.01,3568.0,43710.2849
1753304400,2025-07-23 21:00:00+00:00,3568.0,3594.35,3527.0,3591.39,39496.4075
1753308000,2025-07-23 22:00:00+00:00,3591.47,3620.0,3578.01,3610.43,17069.5269
1753311600,2025-07-23 23:00:00+00:00,3610.42,3634.93,3609.19,3628.29,14485.5508
1753315200,2025-07-24 00:00:00+00:00,3628.29,3646.04,3612.57,3646.03,18200.334
1753318800,2025-07-24 01:00:00+00:00,3646.04,3648.4,3626.17,3647.86,10612.9856
1753322400,2025-07-24 02:00:00+00:00,3647.87,3652.34,3637.52,3649.79,11738.6182
1753326000,2025-07-24 03:00:00+00:00,3649.79,3665.31,3639.03,3641.19,14695.2911
1753329600,2025-07-24 04:00:00+00:00,3641.19,3657.57,3602.22,3609.75,24495.3513
1753333200,2025-07-24 05:00:00+00:00,3609.75,3610.21,3556.32,3556.33,47724.4991
1753336800,2025-07-24 06:00:00+00:00,3556.33,3579.37,3526.28,3544.94,37555.5458
1753340400,2025-07-24 07:00:00+00:00,3544.93,3595.92,3502.85,3591.9,50681.7577
1753344000,2025-07-24 08:00:00+00:00,3591.9,3644.77,3580.79,3633.48,34273.5274
1753347600,2025-07-24 09:00:00+00:00,3633.48,3644.12,3617.32,3636.11,22110.6185
1753351200,2025-07-24 10:00:00+00:00,3636.11,3658.0,3591.27,3620.98,37392.8481
1753354800,2025-07-24 11:00:00+00:00,3620.97,3660.36,3619.23,3655.12,27035.1242
1753358400,2025-07-24 12:00:00+00:00,3655.12,3659.89,3619.4,3642.65,26266.8279
1753362000,2025-07-24 13:00:00+00:00,3642.64,3656.0,3627.01,3629.93,23632.8563
1753365600,2025-07-24 14:00:00+00:00,3629.93,3737.5,3612.96,3734.44,72047.3751
1753369200,2025-07-24 15:00:00+00:00,3734.45,3771.0,3708.5,3730.76,84760.5973
1753372800,2025-07-24 16:00:00+00:00,3730.77,3732.39,3666.74,3686.69,44856.1382
1753376400,2025-07-24 17:00:00+00:00,3686.69,3734.27,3682.5,3724.7,31513.2454
1753380000,2025-07-24 18:00:00+00:00,3724.69,3750.0,3711.83,3740.8,26760.5225
1753383600,2025-07-24 19:00:00+00:00,3740.81,3754.17,3720.0,3732.79,31936.7503
1753387200,2025-07-24 20:00:00+00:00,3732.77,3743.44,3722.28,3735.44,15153.6798
1753390800,2025-07-24 21:00:00+00:00,3735.44,3742.92,3710.01,3725.78,15871.6981
1753394400,2025-07-24 22:00:00+00:00,3725.78,3735.07,3701.21,3724.27,19914.9625
1753398000,2025-07-24 23:00:00+00:00,3724.28,3724.28,3695.32,3706.94,20228.3406
1753401600,2025-07-25 00:00:00+00:00,3706.95,3708.21,3646.5,3659.4,28281.3611
1753405200,2025-07-25 01:00:00+00:00,3659.4,3691.21,3641.98,3683.27,47274.5804
1753408800,2025-07-25 02:00:00+00:00,3683.28,3691.3,3615.97,3615.97,43447.3883
1753412400,2025-07-25 03:00:00+00:00,3615.98,3633.57,3573.76,3596.0,55609.9981
1753416000,2025-07-25 04:00:00+00:00,3596.01,3651.55,3580.0,3648.6,37699.4906
1753419600,2025-07-25 05:00:00+00:00,3648.59,3650.01,3610.81,3633.41,27328.5641
1753423200,2025-07-25 06:00:00+00:00,3633.41,3643.78,3611.35,3631.61,26615.1727
1753426800,2025-07-25 07:00:00+00:00,3631.61,3667.59,3599.44,3631.67,47169.404
1753430400,2025-07-25 08:00:00+00:00,3631.67,3678.0,3629.1,3664.82,36451.261
1753434000,2025-07-25 09:00:00+00:00,3664.83,3732.69,3650.0,3726.08,53731.0449
1753437600,2025-07-25 10:00:00+00:00,3726.09,3747.0,3705.34,3718.89,37635.8802
1753441200,2025-07-25 11:00:00+00:00,3718.89,3744.0,3715.45,3721.37,22513.0778
1753444800,2025-07-25 12:00:00+00:00,3721.37,3735.0,3694.03,3704.45,26885.7594
1753448400,2025-07-25 13:00:00+00:00,3704.45,3719.94,3676.33,3706.03,38033.3293
1753452000,2025-07-25 14:00:00+00:00,3706.03,3708.83,3620.93,3629.23,44491.2724
1753455600,2025-07-25 15:00:00+00:00,3629.23,3647.66,3601.56,3634.2,45934.1338
1753459200,2025-07-25 16:00:00+00:00,3634.21,3645.69,3615.0,3640.78,27866.8286
1753462800,2025-07-25 17:00:00+00:00,3640.77,3652.86,3621.39,3636.48,24616.9496
1753466400,2025-07-25 18:00:00+00:00,3636.47,3658.52,3635.53,3650.25,15223.6952
1753470000,2025-07-25 19:00:00+00:00,3650.25,3659.75,3641.04,3641.14,10561.4631
1753473600,2025-07-25 20:00:00+00:00,3641.15,3697.4,3639.5,3685.12,14607.5156
1753477200,2025-07-25 21:00:00+00:00,3685.13,3726.7,3685.13,3719.81,26603.9447
1753480800,2025-07-25 22:00:00+00:00,3719.81,3730.0,3715.2,3720.07,15533.0319
1753484400,2025-07-25 23:00:00+00:00,3720.06,3729.92,3708.85,3724.96,10491.5793
1753488000,2025-07-26 00:00:00+00:00,3724.97,3728.06,3711.27,3725.51,9159.5545
1753491600,2025-07-26 01:00:00+00:00,3725.52,3726.0,3697.66,3702.13,13859.5271
1753495200,2025-07-26 02:00:00+00:00,3702.12,3767.13,3702.12,3742.67,41089.1299
1753498800,2025-07-26 03:00:00+00:00,3742.67,3746.77,3728.21,3739.51,9811.4012
1753502400,2025-07-26 04:00:00+00:00,3739.5,3753.54,3737.32,3748.34,15426.1536
1753506000,2025-07-26 05:00:00+00:00,3748.35,3756.62,3734.15,3748.02,14169.8692
1753509600,2025-07-26 06:00:00+00:00,3748.02,3750.54,3731.53,3739.78,8923.7456
1753513200,2025-07-26 07:00:00+00:00,3739.77,3748.46,3738.09,3742.21,6037.1089
1753516800,2025-07-26 08:00:00+00:00,3742.2,3779.0,3742.2,3762.73,28381.5061
1753520400,2025-07-26 09:00:00+00:00,3762.73,3765.65,3749.39,3759.1,13007.7625
1753524000,2025-07-26 10:00:00+00:00,3759.11,3782.83,3752.56,3759.93,24687.2251
1753527600,2025-07-26 11:00:00+00:00,3759.94,3770.0,3730.25,3739.36,44617.9521
1753531200,2025-07-26 12:00:00+00:00,3739.37,3751.14,3725.0,3741.98,18911.2628
1753534800,2025-07-26 13:00:00+00:00,3741.98,3754.2,3736.18,3743.62,14980.8919
1753538400,2025-07-26 14:00:00+00:00,3743.63,3748.2,3724.57,3727.97,17223.2689
1753542000,2025-07-26 15:00:00+00:00,3727.98,3740.05,3715.58,3735.72,13325.3873
1753545600,2025-07-26 16:00:00+00:00,3735.72,3741.99,3719.75,3727.96,14425.3224
1753549200,2025-07-26 17:00:00+00:00,3727.96,3734.85,3721.6,3723.72,6649.2903
1753552800,2025-07-26 18:00:00+00:00,3723.73,3756.0,3709.39,3740.14,22762.2322
1753556400,2025-07-26 19:00:00+00:00,3740.14,3756.06,3739.35,3750.5,9664.989
1753560000,2025-07-26 20:00:00+00:00,3750.5,3751.93,3733.49,3745.36,8491.6458
1753563600,2025-07-26 21:00:00+00:00,3745.35,3763.65,3738.08,3758.77,9485.2754
1753567200,2025-07-26 22:00:00+00:00,3758.77,3793.0,3742.41,3750.16,34803.1815
1753570800,2025-07-26 23:00:00+00:00,3750.17,3755.48,3736.84,3741.1,7366.0191
1753574400,2025-07-27 00:00:00+00:00,3741.11,3756.27,3731.0,3756.26,9134.5902
1753578000,2025-07-27 01:00:00+00:00,3756.26,3772.58,3750.71,3756.43,10790.3901
1753581600,2025-07-27 02:00:00+00:00,3756.43,3787.8,3752.08,3784.72,10330.5516
1753585200,2025-07-27 03:00:00+00:00,3784.73,3786.02,3770.71,3774.03,10789.7027
1753588800,2025-07-27 04:00:00+00:00,3774.03,3791.65,3768.66,3791.01,9237.2574
1753592400,2025-07-27 05:00:00+00:00,3791.01,3811.0,3781.84,3790.94,31584.0526
1753596000,2025-07-27 06:00:00+00:00,3790.93,3791.29,3764.84,3772.2,11596.5556
