ts,timestamp,open,high,low,close,volume
1756514700,2025-08-30 00:45:00+00:00,4331.03,4342.05,4331.03,4340.49,1111.4797
1756515000,2025-08-30 00:50:00+00:00,4340.49,4342.35,4334.41,4334.8,1156.6917
1756515300,2025-08-30 00:55:00+00:00,4334.8,4342.65,4331.2,4342.65,874.9567
1756515600,2025-08-30 01:00:00+00:00,4342.64,4342.64,4338.55,4340.49,535.1699
1756515900,2025-08-30 01:05:00+00:00,4340.5,4347.73,4337.97,4344.79,649.9764
1756516200,2025-08-30 01:10:00+00:00,4344.79,4348.32,4343.27,4344.4,390.7275
1756516500,2025-08-30 01:15:00+00:00,4344.4,4344.4,4338.42,4340.74,605.371
1756516800,2025-08-30 01:20:00+00:00,4340.73,4343.25,4332.42,4332.42,980.2195
1756517100,2025-08-30 01:25:00+00:00,4332.41,4332.41,4322.53,4325.58,1177.6174
1756517400,2025-08-30 01:30:00+00:00,4325.58,4331.96,4322.0,4331.95,823.9078
1756517700,2025-08-30 01:35:00+00:00,4331.95,4331.95,4324.7,4325.65,752.9143
1756518000,2025-08-30 01:40:00+00:00,4325.65,4326.41,4320.0,4320.36,1435.3326
1756518300,2025-08-30 01:45:00+00:00,4320.37,4321.24,4315.09,4316.23,1364.2961
1756518600,2025-08-30 01:50:00+00:00,4316.23,4317.99,4280.35,4281.0,6830.4047
1756518900,2025-08-30 01:55:00+00:00,4281.01,4292.78,4258.01,4265.09,13094.4276
1756519200,2025-08-30 02:00:00+00:00,4265.1,4285.53,4257.2,4284.9,4952.6498
1756519500,2025-08-30 02:05:00+00:00,4284.9,4294.49,4284.0,4291.75,2232.373
1756519800,2025-08-30 02:10:00+00:00,4291.75,4303.96,4290.95,4303.95,2137.8086
1756520100,2025-08-30 02:15:00+00:00,4303.96,4312.73,4299.11,4308.79,1461.3899
1756520400,2025-08-30 02:20:00+00:00,4308.79,4310.99,4302.92,4303.36,1887.5085
1756520700,2025-08-30 02:25:00+00:00,4303.35,4310.56,4298.88,4309.29,2082.3644
1756521000,2025-08-30 02:30:00+00:00,4309.3,4316.57,4309.29,4313.39,2192.622
1756521300,2025-08-30 02:35:00+00:00,4313.4,4314.28,4310.0,4310.28,873.7169
1756521600,2025-08-30 02:40:00+00:00,4310.28,4312.79,4307.06,4310.63,810.1878
1756521900,2025-08-30 02:45:00+00:00,4310.62,4315.26,4306.92,4314.2,1616.2495
1756522200,2025-08-30 02:50:00+00:00,4314.2,4315.08,4306.39,4306.45,1464.276
1756522500,2025-08-30 02:55:00+00:00,4306.45,4308.18,4303.37,4304.44,803.725
1756522800,2025-08-30 03:00:00+00:00,4304.45,4313.44,4303.42,4313.44,1348.4601
1756523100,2025-08-30 03:05:00+00:00,4313.44,4326.61,4312.11,4326.33,1419.3744
1756523400,2025-08-30 03:10:00+00:00,4326.36,4328.35,4322.44,4324.18,1155.46
1756523700,2025-08-30 03:15:00+00:00,4324.18,4336.41,4324.17,4336.23,1545.66
1756524000,2025-08-30 03:20:00+00:00,4336.24,4381.61,4336.23,4367.48,7125.7959
1756524300,2025-08-30 03:25:00+00:00,4367.48,4370.13,4357.28,4359.15,1705.5989
1756524600,2025-08-30 03:30:00+00:00,4359.14,4372.92,4357.9,4360.86,1449.7407
1756524900,2025-08-30 03:35:00+00:00,4360.86,4364.92,4358.33,4359.0,901.6007
1756525200,2025-08-30 03:40:00+00:00,4358.99,4359.29,4353.51,4355.57,1424.1921
1756525500,2025-08-30 03:45:00+00:00,4355.58,4360.37,4352.6,4353.32,731.3104
1756525800,2025-08-30 03:50:00+00:00,4353.32,4360.4,4352.7,4360.39,819.1374
1756526100,2025-08-30 03:55:00+00:00,4360.39,4363.38,4352.11,4352.45,972.281
1756526400,2025-08-30 04:00:00+00:00,4352.46,4356.61,4350.07,4356.31,981.3899
1756526700,2025-08-30 04:05:00+00:00,4356.3,4363.09,4354.91,4362.64,1030.1963
1756527000,2025-08-30 04:10:00+00:00,4362.64,4362.65,4358.08,4358.49,623.063
1756527300,2025-08-30 04:15:00+00:00,4358.49,4365.0,4357.11,4363.89,500.1196
1756527600,2025-08-30 04:20:00+00:00,4363.9,4364.17,4356.94,4364.17,490.9543
