ts,timestamp,open,high,low,close,volume
1753218000,2025-07-22 21:00:00+00:00,19.42,19.51,19.32,19.46,104172.6
1753221600,2025-07-22 22:00:00+00:00,19.47,19.53,19.41,19.43,59519.71
1753225200,2025-07-22 23:00:00+00:00,19.44,19.69,19.41,19.66,102755.67
1753228800,2025-07-23 00:00:00+00:00,19.66,19.76,19.51,19.53,109415.54
1753232400,2025-07-23 01:00:00+00:00,19.53,19.68,19.42,19.65,146585.55
1753236000,2025-07-23 02:00:00+00:00,19.66,19.73,19.45,19.54,147821.58
1753239600,2025-07-23 03:00:00+00:00,19.54,19.6,19.41,19.46,107938.66
1753243200,2025-07-23 04:00:00+00:00,19.47,19.71,19.43,19.67,74716.81
1753246800,2025-07-23 05:00:00+00:00,19.68,19.68,19.46,19.49,45895.1
1753250400,2025-07-23 06:00:00+00:00,19.49,19.51,19.25,19.3,144363.32
1753254000,2025-07-23 07:00:00+00:00,19.29,19.36,19.0,19.14,196321.56
1753257600,2025-07-23 08:00:00+00:00,19.15,19.24,19.06,19.23,112102.69
1753261200,2025-07-23 09:00:00+00:00,19.23,19.26,18.92,18.93,125077.16
1753264800,2025-07-23 10:00:00+00:00,18.93,18.97,18.77,18.95,151199.78
1753268400,2025-07-23 11:00:00+00:00,18.95,18.95,18.79,18.91,85351.84
1753272000,2025-07-23 12:00:00+00:00,18.91,18.95,18.45,18.52,268795.14
1753275600,2025-07-23 13:00:00+00:00,18.53,18.6,17.84,18.06,918673.75
1753279200,2025-07-23 14:00:00+00:00,18.06,18.37,18.01,18.3,398745.48
1753282800,2025-07-23 15:00:00+00:00,18.3,18.51,18.15,18.5,206532.62
1753286400,2025-07-23 16:00:00+00:00,18.5,18.5,17.93,17.93,248321.95
1753290000,2025-07-23 17:00:00+00:00,17.93,18.05,17.69,17.97,401194.94
1753293600,2025-07-23 18:00:00+00:00,17.97,18.16,17.96,18.16,142098.76
1753297200,2025-07-23 19:00:00+00:00,18.15,18.17,17.97,17.99,216406.9
1753300800,2025-07-23 20:00:00+00:00,17.98,18.11,17.59,17.87,321487.24
1753304400,2025-07-23 21:00:00+00:00,17.87,18.05,17.55,18.0,259031.79
1753308000,2025-07-23 22:00:00+00:00,18.0,18.27,17.87,18.19,105655.19
1753311600,2025-07-23 23:00:00+00:00,18.19,18.29,18.13,18.18,76344.83
