ts,timestamp,open,high,low,close,volume
1756514700,2025-08-30 00:45:00+00:00,23.31,23.37,23.31,23.34,4058.89
1756515000,2025-08-30 00:50:00+00:00,23.34,23.35,23.29,23.29,6234.81
1756515300,2025-08-30 00:55:00+00:00,23.29,23.31,23.27,23.3,4489.35
1756515600,2025-08-30 01:00:00+00:00,23.3,23.31,23.28,23.3,3821.46
1756515900,2025-08-30 01:05:00+00:00,23.3,23.33,23.28,23.31,3465.09
1756516200,2025-08-30 01:10:00+00:00,23.31,23.32,23.28,23.28,4805.58
1756516500,2025-08-30 01:15:00+00:00,23.28,23.28,23.23,23.24,4075.08
1756516800,2025-08-30 01:20:00+00:00,23.25,23.29,23.21,23.23,35153.78
1756517100,2025-08-30 01:25:00+00:00,23.23,23.23,23.18,23.2,18829.87
1756517400,2025-08-30 01:30:00+00:00,23.21,23.24,23.19,23.24,7088.0
1756517700,2025-08-30 01:35:00+00:00,23.24,23.24,23.18,23.18,6600.52
1756518000,2025-08-30 01:40:00+00:00,23.19,23.2,23.16,23.16,17452.92
1756518300,2025-08-30 01:45:00+00:00,23.17,23.17,23.12,23.12,16230.85
1756518600,2025-08-30 01:50:00+00:00,23.13,23.13,22.96,22.98,109941.25
1756518900,2025-08-30 01:55:00+00:00,22.97,23.02,22.84,22.85,133176.52
1756519200,2025-08-30 02:00:00+00:00,22.86,22.99,22.83,22.98,61147.96
1756519500,2025-08-30 02:05:00+00:00,22.99,23.06,22.99,23.05,12869.29
1756519800,2025-08-30 02:10:00+00:00,23.05,23.12,23.04,23.09,18728.5
1756520100,2025-08-30 02:15:00+00:00,23.09,23.13,23.05,23.11,9201.41
1756520400,2025-08-30 02:20:00+00:00,23.11,23.12,23.02,23.02,7137.99
1756520700,2025-08-30 02:25:00+00:00,23.03,23.04,22.99,23.02,37584.43
1756521000,2025-08-30 02:30:00+00:00,23.03,23.05,23.0,23.01,13198.07
1756521300,2025-08-30 02:35:00+00:00,23.02,23.04,23.0,23.03,6496.61
1756521600,2025-08-30 02:40:00+00:00,23.03,23.04,22.99,23.0,4925.13
1756521900,2025-08-30 02:45:00+00:00,23.01,23.02,22.99,23.01,15485.77
1756522200,2025-08-30 02:50:00+00:00,23.01,23.03,22.96,22.97,7033.92
1756522500,2025-08-30 02:55:00+00:00,22.97,22.97,22.94,22.96,11352.5
1756522800,2025-08-30 03:00:00+00:00,22.96,22.98,22.93,22.98,12164.97
1756523100,2025-08-30 03:05:00+00:00,22.98,23.04,22.97,23.04,11428.92
1756523400,2025-08-30 03:10:00+00:00,23.04,23.05,23.01,23.05,8690.67
1756523700,2025-08-30 03:15:00+00:00,23.05,23.14,23.05,23.14,20348.37
1756524000,2025-08-30 03:20:00+00:00,23.13,23.3,23.13,23.24,40740.15
1756524300,2025-08-30 03:25:00+00:00,23.24,23.25,23.16,23.17,24205.0
1756524600,2025-08-30 03:30:00+00:00,23.17,23.23,23.12,23.13,8884.7
1756524900,2025-08-30 03:35:00+00:00,23.13,23.24,23.11,23.2,12260.26
1756525200,2025-08-30 03:40:00+00:00,23.2,23.2,23.11,23.14,4937.58
1756525500,2025-08-30 03:45:00+00:00,23.14,23.15,22.97,22.97,26284.82
1756525800,2025-08-30 03:50:00+00:00,22.98,23.24,22.98,23.23,75642.04
1756526100,2025-08-30 03:55:00+00:00,23.23,23.28,23.2,23.24,15072.0
1756526400,2025-08-30 04:00:00+00:00,23.25,23.28,23.18,23.23,20340.8
1756526700,2025-08-30 04:05:00+00:00,23.23,23.23,23.18,23.22,6142.52
1756527000,2025-08-30 04:10:00+00:00,23.22,23.26,23.2,23.23,21030.74
1756527300,2025-08-30 04:15:00+00:00,23.22,23.3,23.21,23.28,25599.21
1756527600,2025-08-30 04:20:00+00:00,23.28,23.29,23.21,23.28,4353.86
1756527900,2025-08-30 04:25:00+00:00,23.27,23.34,23.27,23.33,23549.89
1756528200,2025-08-30 04:30:00+00:00,23.33,23.38,23.28,23.29,12503.99
1756528500,2025-08-30 04:35:00+00:00,23.3,23.33,23.27,23.32,5644.34
1756528800,2025-08-30 04:40:00+00:00,23.32,23.36,23.31,23.34,4165.18
1756529100,2025-08-30 04:45:00+00:00,23.33,23.39,23.31,23.38,4200.34
1756529400,2025-08-30 04:50:00+00:00,23.38,23.39,23.31,23.32,5587.79
1756529700,2025-08-30 04:55:00+00:00,23.32,23.33,23.27,23.28,6290.8
1756530000,2025-08-30 05:00:00+00:00,23.28,23.32,23.26,23.31,6733.13
1756530300,2025-08-30 05:05:00+00:00,23.3,23.35,23.29,23.35,5876.97
1756530600,2025-08-30 05:10:00+00:00,23.34,23.39,23.31,23.34,1863.67
1756530900,2025-08-30 05:15:00+00:00,23.35,23.41,23.34,23.4,2040.69
1756531200,2025-08-30 05:20:00+00:00,23.41,23.41,23.35,23.39,6329.66
1756531500,2025-08-30 05:25:00+00:00,23.4,23.41,23.35,23.37,24878.8
1756531800,2025-08-30 05:30:00+00:00,23.36,23.44,23.33,23.39,107694.98
1756532100,2025-08-30 05:35:00+00:00,23.39,23.44,23.35,23.43,41866.93
1756532400,2025-08-30 05:40:00+00:00,23.43,23.43,23.39,23.4,10213.05
1756532700,2025-08-30 05:45:00+00:00,23.39,23.45,23.33,23.34,31217.41
1756533000,2025-08-30 05:50:00+00:00,23.34,23.4,23.32,23.36,9380.63
1756533300,2025-08-30 05:55:00+00:00,23.35,23.35,23.3,23.31,10236.07
1756533600,2025-08-30 06:00:00+00:00,23.31,23.38,23.28,23.34,12474.78
1756533900,2025-08-30 06:05:00+00:00,23.34,23.36,23.31,23.36,5888.29
1756534200,2025-08-30 06:10:00+00:00,23.36,23.37,23.3,23.3,6346.7
1756534500,2025-08-30 06:15:00+00:00,23.3,23.31,23.25,23.29,4763.56
1756534800,2025-08-30 06:20:00+00:00,23.3,23.34,23.28,23.32,2514.44
1756535100,2025-08-30 06:25:00+00:00,23.32,23.34,23.29,23.33,2981.76
1756535400,2025-08-30 06:30:00+00:00,23.33,23.39,23.33,23.35,9519.51
1756535700,2025-08-30 06:35:00+00:00,23.35,23.44,23.35,23.43,7847.33
