ts,timestamp,open,high,low,close,volume
1753218000,2025-07-22 21:00:00+00:00,200.64,202.17,199.83,201.44,123072.82
1753221600,2025-07-22 22:00:00+00:00,201.44,202.88,201.43,201.95,91976.685
1753225200,2025-07-22 23:00:00+00:00,201.95,206.3,201.93,205.7,328750.536
1753228800,2025-07-23 00:00:00+00:00,205.7,205.75,203.36,204.29,202707.84
1753232400,2025-07-23 01:00:00+00:00,204.3,204.52,202.64,203.05,168251.373
1753236000,2025-07-23 02:00:00+00:00,203.05,203.39,201.61,202.34,144084.681
1753239600,2025-07-23 03:00:00+00:00,202.34,202.75,200.99,201.39,126747.851
1753243200,2025-07-23 04:00:00+00:00,201.4,202.26,201.0,201.65,100024.105
1753246800,2025-07-23 05:00:00+00:00,201.65,202.01,200.83,201.58,97397.296
1753250400,2025-07-23 06:00:00+00:00,201.58,201.93,199.74,200.62,126727.17
1753254000,2025-07-23 07:00:00+00:00,200.61,201.14,198.88,199.46,122380.794
1753257600,2025-07-23 08:00:00+00:00,199.47,199.83,198.71,199.83,105879.416
1753261200,2025-07-23 09:00:00+00:00,199.83,200.0,197.51,197.66,148554.614
1753264800,2025-07-23 10:00:00+00:00,197.66,198.03,195.86,197.94,215344.039
1753268400,2025-07-23 11:00:00+00:00,197.94,198.2,196.92,197.42,103324.651
1753272000,2025-07-23 12:00:00+00:00,197.41,197.57,193.68,194.17,285969.855
1753275600,2025-07-23 13:00:00+00:00,194.16,194.89,187.61,189.18,987778.673
1753279200,2025-07-23 14:00:00+00:00,189.18,192.36,188.69,191.61,437372.712
1753282800,2025-07-23 15:00:00+00:00,191.6,192.79,189.65,192.72,213460.55
1753286400,2025-07-23 16:00:00+00:00,192.72,192.75,188.02,188.26,338307.805
1753290000,2025-07-23 17:00:00+00:00,188.26,189.29,186.01,188.7,377908.403
1753293600,2025-07-23 18:00:00+00:00,188.7,190.3,188.19,190.22,163213.119
1753297200,2025-07-23 19:00:00+00:00,190.21,190.26,188.03,188.08,137707.413
1753300800,2025-07-23 20:00:00+00:00,188.09,189.76,184.44,186.78,417397.713
1753304400,2025-07-23 21:00:00+00:00,186.78,188.25,183.97,187.94,307110.091
1753308000,2025-07-23 22:00:00+00:00,187.94,189.69,186.49,189.08,148209.004
1753311600,2025-07-23 23:00:00+00:00,189.07,190.04,188.87,189.4,72278.331
1753315200,2025-07-24 00:00:00+00:00,189.4,190.99,188.48,190.95,187946.056
1753318800,2025-07-24 01:00:00+00:00,190.95,191.57,189.25,191.54,116302.872
1753322400,2025-07-24 02:00:00+00:00,191.53,191.65,190.38,191.14,104270.422
1753326000,2025-07-24 03:00:00+00:00,191.14,191.87,189.62,189.85,96837.299
1753329600,2025-07-24 04:00:00+00:00,189.85,190.12,185.33,186.05,179080.883
1753333200,2025-07-24 05:00:00+00:00,186.04,186.2,181.29,181.87,443165.721
1753336800,2025-07-24 06:00:00+00:00,181.88,184.12,179.87,181.08,362611.623
1753340400,2025-07-24 07:00:00+00:00,181.08,184.33,179.21,184.21,287752.653
1753344000,2025-07-24 08:00:00+00:00,184.2,186.36,183.27,186.04,244410.0
1753347600,2025-07-24 09:00:00+00:00,186.03,186.46,184.44,185.21,153911.135
1753351200,2025-07-24 10:00:00+00:00,185.22,186.28,182.92,184.89,174132.317
1753354800,2025-07-24 11:00:00+00:00,184.9,186.92,184.89,186.4,107140.506
1753358400,2025-07-24 12:00:00+00:00,186.41,186.86,184.62,186.01,162423.569
1753362000,2025-07-24 13:00:00+00:00,186.01,187.41,184.27,184.57,186756.724
1753365600,2025-07-24 14:00:00+00:00,184.57,190.04,183.36,189.52,365391.135
1753369200,2025-07-24 15:00:00+00:00,189.52,191.76,187.55,188.53,418886.033
1753372800,2025-07-24 16:00:00+00:00,188.54,188.86,184.85,185.82,288260.551
1753376400,2025-07-24 17:00:00+00:00,185.82,189.6,185.7,188.78,216772.978
1753380000,2025-07-24 18:00:00+00:00,188.78,189.92,187.77,189.24,183861.068
1753383600,2025-07-24 19:00:00+00:00,189.25,190.04,187.87,187.99,133001.899
1753387200,2025-07-24 20:00:00+00:00,187.99,189.06,187.57,188.86,100904.508
1753390800,2025-07-24 21:00:00+00:00,188.85,188.89,185.58,185.58,150933.48
1753394400,2025-07-24 22:00:00+00:00,185.59,185.87,183.41,183.72,314946.313
1753398000,2025-07-24 23:00:00+00:00,183.72,183.72,182.01,182.87,237365.126
1753401600,2025-07-25 00:00:00+00:00,182.88,183.16,180.57,181.92,189596.489
1753405200,2025-07-25 01:00:00+00:00,181.93,183.54,180.75,182.95,211875.484
1753408800,2025-07-25 02:00:00+00:00,182.95,183.49,178.26,178.82,297917.041
1753412400,2025-07-25 03:00:00+00:00,178.82,179.78,175.63,177.71,391076.689
1753416000,2025-07-25 04:00:00+00:00,177.72,179.66,176.07,179.49,244211.714
1753419600,2025-07-25 05:00:00+00:00,179.49,179.78,177.95,178.71,146140.467
1753423200,2025-07-25 06:00:00+00:00,178.72,178.93,177.28,178.12,102417.213
1753426800,2025-07-25 07:00:00+00:00,178.12,178.87,175.91,177.51,256386.886
1753430400,2025-07-25 08:00:00+00:00,177.51,179.35,176.86,177.84,205945.323
1753434000,2025-07-25 09:00:00+00:00,177.85,180.91,177.4,180.81,260761.063
1753437600,2025-07-25 10:00:00+00:00,180.81,181.67,179.73,180.74,197653.785
1753441200,2025-07-25 11:00:00+00:00,180.73,182.08,180.73,181.12,154142.449
1753444800,2025-07-25 12:00:00+00:00,181.12,181.89,179.98,180.77,128225.146
1753448400,2025-07-25 13:00:00+00:00,180.78,181.46,179.55,181.15,124974.702
1753452000,2025-07-25 14:00:00+00:00,181.15,181.36,176.33,176.59,344599.788
1753455600,2025-07-25 15:00:00+00:00,176.59,178.61,176.24,178.2,198377.627
1753459200,2025-07-25 16:00:00+00:00,178.19,179.97,177.47,179.71,166187.432
1753462800,2025-07-25 17:00:00+00:00,179.7,181.07,179.37,180.69,168841.723
1753466400,2025-07-25 18:00:00+00:00,180.69,182.72,180.67,182.33,143977.671
1753470000,2025-07-25 19:00:00+00:00,182.33,182.84,181.76,182.17,139364.113
1753473600,2025-07-25 20:00:00+00:00,182.16,184.5,182.08,183.79,127594.931
1753477200,2025-07-25 21:00:00+00:00,183.79,185.3,183.79,185.06,97406.93
1753480800,2025-07-25 22:00:00+00:00,185.06,186.2,185.0,186.09,86247.199
1753484400,2025-07-25 23:00:00+00:00,186.09,186.85,185.59,186.76,97388.575
1753488000,2025-07-26 00:00:00+00:00,186.75,186.93,185.67,185.88,79329.963
1753491600,2025-07-26 01:00:00+00:00,185.88,186.09,184.48,184.48,79599.543
1753495200,2025-07-26 02:00:00+00:00,184.48,186.85,184.48,186.52,117686.423
1753498800,2025-07-26 03:00:00+00:00,186.52,186.65,185.66,185.97,74918.675
1753502400,2025-07-26 04:00:00+00:00,185.97,186.44,185.69,185.96,49332.744
