ts,timestamp,open,high,low,close,volume
1756514700,2025-08-30 00:45:00+00:00,203.84,204.96,203.84,204.51,15827.154
1756515000,2025-08-30 00:50:00+00:00,204.51,204.72,204.35,204.35,6794.977
1756515300,2025-08-30 00:55:00+00:00,204.35,205.08,204.03,205.0,17216.97
1756515600,2025-08-30 01:00:00+00:00,204.99,205.16,204.91,205.0,11501.703
1756515900,2025-08-30 01:05:00+00:00,205.01,205.1,204.55,204.98,14863.975
1756516200,2025-08-30 01:10:00+00:00,204.98,205.04,204.66,204.75,6800.766
1756516500,2025-08-30 01:15:00+00:00,204.74,204.9,204.52,204.8,6561.443
1756516800,2025-08-30 01:20:00+00:00,204.8,205.03,204.45,204.46,9715.754
1756517100,2025-08-30 01:25:00+00:00,204.46,204.46,203.49,203.64,99089.374
1756517400,2025-08-30 01:30:00+00:00,203.63,204.0,203.24,203.91,19676.47
1756517700,2025-08-30 01:35:00+00:00,203.91,204.15,203.66,203.76,8593.291
1756518000,2025-08-30 01:40:00+00:00,203.76,203.87,203.48,203.49,10472.025
1756518300,2025-08-30 01:45:00+00:00,203.49,203.53,202.79,202.79,40451.695
1756518600,2025-08-30 01:50:00+00:00,202.79,202.95,201.8,201.82,44408.6
1756518900,2025-08-30 01:55:00+00:00,201.81,202.17,200.9,201.12,66181.983
1756519200,2025-08-30 02:00:00+00:00,201.13,201.99,200.68,201.9,99171.658
1756519500,2025-08-30 02:05:00+00:00,201.9,202.6,201.89,202.27,36266.39
1756519800,2025-08-30 02:10:00+00:00,202.27,202.71,202.06,202.62,19171.538
1756520100,2025-08-30 02:15:00+00:00,202.62,203.05,202.53,202.7,10041.56
1756520400,2025-08-30 02:20:00+00:00,202.69,202.79,202.31,202.32,13493.026
1756520700,2025-08-30 02:25:00+00:00,202.32,202.73,202.0,202.59,19358.902
1756521000,2025-08-30 02:30:00+00:00,202.59,203.43,202.54,203.31,31191.282
1756521300,2025-08-30 02:35:00+00:00,203.32,203.45,202.94,203.12,8346.395
1756521600,2025-08-30 02:40:00+00:00,203.12,203.33,202.82,203.3,13265.123
1756521900,2025-08-30 02:45:00+00:00,203.29,203.66,203.09,203.57,19161.853
1756522200,2025-08-30 02:50:00+00:00,203.56,203.71,203.15,203.16,16252.337
1756522500,2025-08-30 02:55:00+00:00,203.16,203.66,203.03,203.32,10811.819
1756522800,2025-08-30 03:00:00+00:00,203.32,203.54,203.18,203.54,8030.542
1756523100,2025-08-30 03:05:00+00:00,203.54,204.24,203.45,204.16,15581.947
1756523400,2025-08-30 03:10:00+00:00,204.16,204.99,204.11,204.91,16947.51
1756523700,2025-08-30 03:15:00+00:00,204.91,205.41,204.75,205.4,16693.985
1756524000,2025-08-30 03:20:00+00:00,205.4,206.57,205.2,206.04,31627.021
1756524300,2025-08-30 03:25:00+00:00,206.04,206.34,205.82,205.97,32327.638
1756524600,2025-08-30 03:30:00+00:00,205.96,206.43,205.68,206.04,19268.914
1756524900,2025-08-30 03:35:00+00:00,206.05,206.65,205.88,206.25,19347.644
1756525200,2025-08-30 03:40:00+00:00,206.25,206.26,205.59,205.82,15454.473
1756525500,2025-08-30 03:45:00+00:00,205.83,205.95,205.32,205.54,12559.64
1756525800,2025-08-30 03:50:00+00:00,205.53,206.1,205.53,206.1,9757.971
